"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authors Management","Get Authors","US-001","0","0","1","0","0"
"Books Management","Get Books","US-006","1","0","0","0","0"
"Authors Management","Create Author","US-003","1","0","25","0","0"
"Authors Management","Update Author","US-004","1","1","19","0","0"
"Books Management","Create Book","US-008","6","0","9","0","0"
"Authors Management","Get Author","US-002","0","0","4","0","0"
"Books Management","Get Book","US-007","1","0","3","0","0"
"Books Management","Update Book","US-009","5","0","14","0","0"
"Books Management","Delete Book","US-010","2","0","2","0","0"
"Authors Management","Delete Author","US-005","2","0","2","0","0"
